#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime","Duration"
"1","cd F:\Heft\projects\powershell","Completed","2021/06/15 2:19:29","2021/06/15 2:19:29","00:00:00.3282619"
"2","Get-History |ConvertTo-Csv history.csv -IncludeTypeInformation","Completed","2021/06/15 2:20:12","2021/06/15 2:20:12","00:00:00.9368352"
"3","Get-History |ConvertTo-Csv history.csv ","Completed","2021/06/15 2:20:35","2021/06/15 2:20:35","00:00:00.0343949"
"4","Get-History |ConvertTo-Csv history.csv ","Completed","2021/06/15 2:20:40","2021/06/15 2:20:40","00:00:00.0290048"
"5","Get-History","Completed","2021/06/15 2:20:45","2021/06/15 2:20:46","00:00:00.2036783"
"6","Get-History |Export-Csv history.csv ","Completed","2021/06/15 2:21:36","2021/06/15 2:21:36","00:00:00.1640021"
"7","& .\history.csv","Completed","2021/06/15 2:21:44","2021/06/15 2:21:44","00:00:00.4007601"
"8","Import-Csv .\history.csv","Completed","2021/06/15 2:23:17","2021/06/15 2:23:17","00:00:00.2344161"
"9","Import-Csv .\history.csv","Completed","2021/06/15 2:24:26","2021/06/15 2:24:26","00:00:00.0369669"
"10","get-history","Completed","2021/06/15 2:24:35","2021/06/15 2:24:35","00:00:00.0304642"
"11","Import-Csv .\history.csv|Add-History","Completed","2021/06/15 2:24:47","2021/06/15 2:24:47","00:00:00.2046774"
"12","cd F:\Heft\projects\powershell","Completed","2021/06/15 2:19:00","2021/06/15 2:19:00","00:00:00"
"13","Get-History |ConvertTo-Csv history.csv -IncludeTypeInformation","Completed","2021/06/15 2:20:00","2021/06/15 2:20:00","00:00:00"
"14","Get-History |ConvertTo-Csv history.csv ","Completed","2021/06/15 2:20:00","2021/06/15 2:20:00","00:00:00"
"15","Get-History |ConvertTo-Csv history.csv ","Completed","2021/06/15 2:20:00","2021/06/15 2:20:00","00:00:00"
"16","Get-History","Completed","2021/06/15 2:20:00","2021/06/15 2:20:00","00:00:00"
"17","Get-process","Completed","2021/06/15 2:21:00","2021/06/15 2:21:00","00:00:00"
"18","get-history","Completed","2021/06/15 2:24:49","2021/06/15 2:24:49","00:00:00.0264322"
"19","get-history","Completed","2021/06/15 2:27:35","2021/06/15 2:27:35","00:00:00.0593435"
"20","get-history","Completed","2021/06/15 2:27:40","2021/06/15 2:27:40","00:00:00.0311188"
"21","Get-Process","Completed","2021/06/15 2:27:44","2021/06/15 2:27:45","00:00:00.7418499"
"22","Get-Process","Completed","2021/06/15 2:27:47","2021/06/15 2:27:47","00:00:00.2262243"
"23","Get-History","Completed","2021/06/15 2:29:58","2021/06/15 2:29:58","00:00:00.0233794"
