"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AdobeUpdateService","0","150","79892480","7323648","2080768","10432",,,,,,,,,,"Process",,,"8",,,,,"4576",".",,,,"10432","10432","2080768","2080768","91040","91040","2347008","2347008","7819264","7819264","85024768","85024768",,,"2080768","2080768","AdobeUpdateService",,"0",,"System.Diagnostics.ProcessThreadCollection","150","79892480","79892480","False",,,,"7323648","7323648",,,,,,"0","","True",,
"AGMService","0","271","109293568","12972032","6225920","16712",,,,,,,,,,"Process",,,"8",,,,,"4656",".",,,,"16712","16712","6225920","6225920","143376","143376","8507392","8507392","22556672","22556672","174202880","174202880",,,"6225920","6225920","AGMService",,"0",,"System.Diagnostics.ProcessThreadCollection","271","109293568","109293568","False",,,,"12972032","12972032",,,,,,"0","","True",,
"AGSService","0","260","95748096","11186176","3637248","13976",,,,,,,,,,"Process",,,"8",,,,,"4668",".",,,,"13976","13976","3637248","3637248","129920","129920","5767168","5767168","14020608","14020608","121348096","121348096",,,"3637248","3637248","AGSService",,"0",,"System.Diagnostics.ProcessThreadCollection","260","95748096","95748096","False",,,,"11186176","11186176",,,,,,"0","","True",,
"ApplicationFrameHost","5","521","2203595849728","38346752","31375360","31272","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","1.359375","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4312","8",,"False","2021/06/13 23:21:07",,"11328",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31272","31272","31375360","31375360","415736","415736","38866944","38866944","49926144","49926144","2203602415616","284192768","True","Normal","31375360","31375360","ApplicationFrameHost","255","5",,"System.Diagnostics.ProcessThreadCollection","521","2203595849728","277626880","False",,,,"38346752","38346752",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.7968750","00:00:01.3593750","00:00:00.5625000","199164","電卓","True",,
"armsvc","0","338","105390080","17727488","4153344","19000",,,,,,,,,,"Process",,,"8",,,,,"4460",".",,,,"19000","19000","4153344","4153344","154648","154648","5763072","5763072","21274624","21274624","127664128","127664128",,,"4153344","4153344","armsvc",,"0",,"System.Diagnostics.ProcessThreadCollection","338","105390080","105390080","False",,,,"17727488","17727488",,,,,,"0","","True",,
"BCClipboard","5","168","94224384","10752000","3072000","12432","E:\MySoft\Beyond Compare 4\BCClipboard.exe","""E:\MySoft\Beyond Compare 4\BCClipboard.exe"" ","System.Diagnostics.Process (explorer)","Scooter Software","0.640625","4.3.7.25118","4.3","Beyond Compare Clipboard Compare","Beyond Compare","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3900","8",,"False","2021/06/13 23:15:51",,"10768",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12432","12432","3072000","3072000","185208","185208","3330048","3330048","10924032","10924032","106450944","106450944","True","Normal","3072000","3072000","BCClipboard","255","5",,"System.Diagnostics.ProcessThreadCollection","168","94224384","94224384","False",,,,"10752000","10752000",,"System.Diagnostics.ProcessModule (BCClipboard.exe)","00:00:00.3125000","00:00:00.6406250","00:00:00.3281250","0","","True",,
"Calculator","5","533","4697350144","2330624","20332544","28328","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",,"Microsoft Corporation","0.6875","10.2103.8.0","10.2103.8.0","Calculator.exe","Microsoft Calculator","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3636","8",,"False","2021/06/13 23:24:34",,"19352",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28328","28328","20332544","20332544","726104","726104","22908928","22908928","66170880","66170880","4700495872","405528576","True","Normal","20332544","20332544","Calculator","255","5",,"System.Diagnostics.ProcessThreadCollection","533","4697350144","402382848","False",,,,"2330624","2330624",,"System.Diagnostics.ProcessModule (Calculator.exe)","00:00:00.2968750","00:00:00.6875000","00:00:00.3906250","133644","電卓","False",,
"ChsIME","5","295","2203451318272","15613952","4382720","15864",,,,,,,,,,"Process",,,"8",,,,,"2708",".",,,,"15864","15864","4382720","4382720","176328","176328","9293824","9293824","21716992","21716992","2203539701760","221478912",,,"4382720","4382720","ChsIME",,"5",,"System.Diagnostics.ProcessThreadCollection","295","2203451318272","133095424","False",,,,"15613952","15613952",,,,,,"0","","True",,
"ChsIME","5","136","2203414933504","7626752","1597440","8136",,,,,"0.109375",,,,,"Process",,,"8",,"False","2021/06/13 23:15:21",,"10684",".",,,,"8136","8136","1597440","1597440","124176","124176","1683456","1683456","8450048","8450048","2203418079232","99856384",,,"1597440","1597440","ChsIME",,"5",,"System.Diagnostics.ProcessThreadCollection","136","2203414933504","96710656","False",,,,"7626752","7626752",,,"00:00:00.0937500","00:00:00.1093750","00:00:00.0156250","0","","True",,
"Code","5","533","2238800846848","385363968","374476800","31112","E:\MySoft\Microsoft VS Code\Code.exe","""E:\MySoft\Microsoft VS Code\Code.exe"" --type=gpu-process --field-trial-handle=1364,12699180385919364944,12176125461545580844,131072 --enable-features=WebComponentsV0Enabled --disable-features=CalculateNativeWinOcclusion,CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-color-correct-rendering --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=1636 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","239.671875","1.57.0","1.57.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4248","10",,"False","2021/06/14 23:57:31",,"7140",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31112","31112","374476800","374476800","881672","881672","519884800","519884800","454328320","454328320","2238910291968","1232330752","True","AboveNormal","374476800","374476800","Code","255","5",,"System.Diagnostics.ProcessThreadCollection","533","2238800846848","1122885632","False",,,,"385363968","385363968",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:59.9687500","00:03:59.6718750","00:02:59.7031250","0","","True",,
